ba_name,freq,load_MW,market,timestamp
CAISO,1hr,26401.0,RT5M,2017-10-02 21:00:00+00:00
CAISO,1hr,28257.0,RT5M,2017-10-03 00:00:00+00:00
CAISO,1hr,23324.0,RT5M,2017-10-03 06:00:00+00:00
CAISO,1hr,28287.0,RT5M,2017-10-03 01:00:00+00:00
CAISO,1hr,25784.0,RT5M,2017-10-03 05:00:00+00:00
CAISO,1hr,25115.0,RT5M,2017-10-02 16:00:00+00:00
CAISO,1hr,26154.0,RT5M,2017-10-02 20:00:00+00:00
CAISO,1hr,19715.0,RT5M,2017-10-02 08:00:00+00:00
CAISO,1hr,20153.0,RT5M,2017-10-02 12:00:00+00:00
CAISO,1hr,27763.0,RT5M,2017-10-03 04:00:00+00:00
CAISO,1hr,20659.0,RT5M,2017-10-02 07:00:00+00:00
CAISO,1hr,25604.0,RT5M,2017-10-02 19:00:00+00:00
CAISO,1hr,27088.0,RT5M,2017-10-02 22:00:00+00:00
CAISO,1hr,27545.0,RT5M,2017-10-02 23:00:00+00:00
CAISO,1hr,29491.0,RT5M,2017-10-03 03:00:00+00:00
CAISO,1hr,19169.0,RT5M,2017-10-02 11:00:00+00:00
CAISO,1hr,24835.0,RT5M,2017-10-02 15:00:00+00:00
CAISO,1hr,25463.0,RT5M,2017-10-02 18:00:00+00:00
CAISO,1hr,29727.0,RT5M,2017-10-03 02:00:00+00:00
CAISO,1hr,18899.0,RT5M,2017-10-02 10:00:00+00:00
CAISO,1hr,24391.0,RT5M,2017-10-02 14:00:00+00:00
CAISO,1hr,25271.0,RT5M,2017-10-02 17:00:00+00:00
CAISO,1hr,19164.0,RT5M,2017-10-02 09:00:00+00:00
CAISO,1hr,22267.0,RT5M,2017-10-02 13:00:00+00:00
CAISO,1hr,18901.0,RT5M,2017-10-02 10:05:00+00:00
CAISO,1hr,25127.0,RT5M,2017-10-02 16:05:00+00:00
CAISO,1hr,23129.0,RT5M,2017-10-03 06:05:00+00:00
CAISO,1hr,19232.0,RT5M,2017-10-02 11:05:00+00:00
CAISO,1hr,20326.0,RT5M,2017-10-02 12:05:00+00:00
CAISO,1hr,27102.0,RT5M,2017-10-02 22:05:00+00:00
CAISO,1hr,29782.0,RT5M,2017-10-03 02:05:00+00:00
CAISO,1hr,20556.0,RT5M,2017-10-02 07:05:00+00:00
CAISO,1hr,25315.0,RT5M,2017-10-02 17:05:00+00:00
CAISO,1hr,19706.0,RT5M,2017-10-02 08:05:00+00:00
CAISO,1hr,27612.0,RT5M,2017-10-03 04:05:00+00:00
CAISO,1hr,22607.0,RT5M,2017-10-02 13:05:00+00:00
CAISO,1hr,24508.0,RT5M,2017-10-02 14:05:00+00:00
CAISO,1hr,25567.0,RT5M,2017-10-02 19:05:00+00:00
CAISO,1hr,26201.0,RT5M,2017-10-02 20:05:00+00:00
CAISO,1hr,29349.0,RT5M,2017-10-03 03:05:00+00:00
CAISO,1hr,25517.0,RT5M,2017-10-02 18:05:00+00:00
CAISO,1hr,24915.0,RT5M,2017-10-02 15:05:00+00:00
CAISO,1hr,26477.0,RT5M,2017-10-02 21:05:00+00:00
CAISO,1hr,27578.0,RT5M,2017-10-02 23:05:00+00:00
CAISO,1hr,19132.0,RT5M,2017-10-02 09:05:00+00:00
CAISO,1hr,25558.0,RT5M,2017-10-03 05:05:00+00:00
CAISO,1hr,28246.0,RT5M,2017-10-03 00:05:00+00:00
CAISO,1hr,28400.0,RT5M,2017-10-03 01:05:00+00:00
